name,provincia,alt,desnivel,dist,pendiente,coef,la_ini,lo_ini,la_fin,lo_fin
 Abantos por El Tomillar,Madrid,1640 m ,677 m ,"13,1 Km ","5,17 % ",133  , 40.609359 , -4.116826 , 40.616184 , -4.176414 
 Abantos por Peguerinos,Ávila,1640 m ,340 m ,"9,9 Km ",3 % ,51  , 40.627187 , -4.232318 , 40.621878 , -4.179533 
 Abantos por Sta. Mª de la Alameda,Ávila,1640 m ,609 m ,"21,8 Km ","2,79 % ",118  , 40.568062 , -4.252655 , 40.621878 , -4.179533 
 Abantos por San Lorenzo de El Escorial,Madrid,1640 m ,620 m ,"11,5 Km ","5,39 % ",134  , 40.595519 , -4.154098 , 40.621878 , -4.179533 
 Abdet (Tossal de Florent) por Abdet,Alicante,685 m ,475 m ,"6,9 Km ","6,88 % ",125  , 38.690467 , -0.226679 , 38.695224 , -0.268049 
 Abdet (Tossal de Florent) por Callosa-Abdet,Alicante,685 m ,635 m ,17 Km ,"3,74 % ",133  , 38.663698 , -0.161104 , 38.695224 , -0.268049 
 Abdet (Tossal de Florent) por Presa Guadalest-Confrides,Alicante,865 m ,495 m ,"14,3 Km ","3,46 % ",88  , 38.678441 , -0.192475 , 38.695224 , -0.268006 
 Abdet (Tossal de Florent) por Presa Guadalest-Abdet,Alicante,865 m ,477 m ,"13,7 Km ","3,48 % ",113  , 38.678508 , -0.192604 , 38.695224 , -0.268006 
 Abdet (Tossal de Florent) por Emb. Guad.-Beniardá-Abdet,Alicante,865 m ,495 m ,"9,5 Km ","5,21 % ",130  , 38.688123 , -0.216937 , 38.695257 , -0.268178 
 Abdet (Tossal de Florent) por Emb. Guad.-Beniardá-Confrides,Alicante,865 m ,477 m ,"10,1 Km ","4,72 % ",105  , 38.687788 , -0.216851 , 38.695257 , -0.268178 
 Abdet (Tossal de Florent) por Callosa-Confrides,Alicante,865 m ,635 m ,"17,6 Km ","3,61 % ",108  , 38.663698 , -0.161104 , 38.69519 , -0.268135 
" Abeduriu, El por El Entrego",Asturias,510 m ,278 m ,"2,6 Km ","10,7 % ",105  , 43.285945 , -5.637338 , 43.278627 , -5.642547 
" Abejas, Puerto de las por Oeste",Málaga,822 m ,266 m ,"6,71 Km ",4 % ,45  , 36.788608 , -4.949348 , 36.746288 , -4.927976 
